ts,bid1,bid2,bid3,bid4,bid5,bid6,bid7,bid8,bid9,bid10,bid1_qty,bid2_qty,bid3_qty,bid4_qty,bid5_qty,bid6_qty,bid7_qty,bid8_qty,bid9_qty,bid10_qty,ask1,ask2,ask3,ask4,ask5,ask6,ask7,ask8,ask9,ask10,ask1_qty,ask2_qty,ask3_qty,ask4_qty,ask5_qty,ask6_qty,ask7_qty,ask8_qty,ask9_qty,ask10_qty
1761260712743,109891.58,109891.57,109891.51,109890.49,109890.44,109890.34,109890.33,109890.32,109890.0,109889.82,5.24791,5e-05,0.0001,0.001,5e-05,0.0001,0.15786,0.3003,5e-05,5e-05,109891.59,109891.6,109891.67,109891.93,109891.94,109892.68,109893.1,109893.3,109893.44,109893.45,1.98196,0.0009,0.0001,0.0003,0.03163,0.00105,5e-05,6e-05,0.0001,0.00743
1761260712843,109891.58,109891.57,109891.51,109890.49,109890.44,109890.34,109890.33,109890.32,109890.0,109889.82,5.24791,5e-05,0.0001,0.001,5e-05,0.0001,0.15786,0.3003,5e-05,5e-05,109891.59,109891.6,109891.67,109891.93,109891.94,109892.68,109893.1,109893.3,109893.44,109893.45,1.98196,0.0009,0.0001,0.0003,0.03163,0.00105,5e-05,6e-05,0.0001,0.00743
1761260712942,109891.58,109891.57,109891.51,109890.49,109890.44,109890.34,109890.33,109890.32,109890.0,109889.82,5.2527,5e-05,0.0001,0.001,5e-05,0.0001,0.15786,0.3003,5e-05,5e-05,109891.59,109891.6,109891.67,109891.93,109891.94,109892.68,109893.1,109893.3,109893.44,109893.45,1.98196,0.0009,0.0001,0.0003,0.03163,0.00105,5e-05,6e-05,0.0001,0.00743
1761260713043,109891.58,109891.57,109891.51,109890.49,109890.44,109890.34,109890.33,109890.32,109890.0,109889.82,5.25311,5e-05,0.0001,0.001,5e-05,0.0001,0.15786,0.3003,5e-05,5e-05,109891.59,109891.6,109891.67,109891.93,109891.94,109892.68,109893.1,109893.3,109893.44,109893.45,1.98196,0.0009,0.0001,0.0003,0.03163,0.00105,5e-05,6e-05,0.0001,0.00743
1761260713143,109891.58,109891.57,109891.51,109890.49,109890.44,109890.34,109890.33,109890.32,109890.0,109889.82,5.284,5e-05,0.0001,0.001,5e-05,0.0001,0.15786,0.3003,5e-05,5e-05,109891.59,109891.6,109891.67,109891.93,109891.94,109892.68,109893.1,109893.3,109893.44,109893.45,1.98196,0.0009,0.0001,0.0003,0.03163,0.00105,5e-05,6e-05,0.0001,0.00743
1761260713243,109891.58,109891.57,109891.51,109890.49,109890.44,109890.34,109890.33,109890.32,109890.0,109889.82,5.28395,5e-05,0.0001,0.001,5e-05,0.0001,0.15786,0.3003,5e-05,5e-05,109891.59,109891.6,109891.67,109891.93,109891.94,109892.68,109893.1,109893.3,109893.44,109893.45,1.97715,0.0009,0.0001,0.0003,0.03163,0.00105,5e-05,6e-05,0.0001,0.00743
1761260713342,109891.58,109891.57,109891.51,109890.49,109890.44,109890.34,109890.33,109890.32,109890.0,109889.82,5.2839,5e-05,0.0001,0.001,5e-05,0.0001,0.15786,0.3003,5e-05,5e-05,109891.59,109891.6,109891.67,109891.93,109891.94,109892.68,109893.1,109893.3,109893.44,109893.45,1.97715,0.0009,0.0001,0.0003,0.03163,0.00105,5e-05,6e-05,0.0001,0.00743
1761260713543,109891.58,109891.57,109891.51,109890.49,109890.44,109890.34,109890.33,109890.32,109890.0,109889.82,5.01097,5e-05,0.0001,0.001,5e-05,0.0001,0.15786,0.3003,5e-05,5e-05,109891.59,109891.6,109891.67,109891.93,109891.94,109892.68,109893.1,109893.3,109893.44,109893.45,1.97624,0.0009,0.0001,0.0003,0.03163,0.00105,5e-05,6e-05,0.0001,0.00743
1761260713642,109891.58,109891.57,109891.51,109890.49,109890.44,109890.34,109890.33,109890.32,109890.0,109889.82,5.01097,5e-05,0.0001,0.001,5e-05,0.0001,0.15786,0.3003,5e-05,5e-05,109891.59,109891.6,109891.67,109891.93,109891.94,109892.68,109893.1,109893.3,109893.44,109893.45,1.97624,0.0009,0.0001,0.0003,0.03163,0.00105,5e-05,6e-05,0.0001,0.00743
1761260713743,109891.58,109891.57,109891.51,109890.49,109890.44,109890.34,109890.33,109890.32,109890.0,109889.82,5.01097,5e-05,0.0001,0.001,5e-05,0.0001,0.15786,0.3003,5e-05,5e-05,109891.59,109891.6,109891.67,109891.93,109891.94,109892.68,109893.1,109893.3,109893.44,109893.45,1.97624,0.0009,0.0001,0.0003,0.03163,0.00105,5e-05,6e-05,0.0001,0.00743
